TAIR ID;Short name;Full name;downregulated in following transcriptomes;upregulated in following transcriptomes;the number of transcriptomes where registered as DEG (FDR<0.05);start of expression changes;1_logFC_0.5h_PRJEB19862;2_logFC_0.5h_GSE18975;3_logFC_1h_GSE149410;4_logFC_1h_GSE18975;5_logFC_2h_GSE3350;6_logFC_2h_GSE35580;7_logFC_2h_GSE42896;8_logFC_2h_GSE627;9_logFC_3h_GSE18975;10_logFC_3h_GSE58028;11_logFC_4h_SRP033494;12_logFC_4h_GSE42007;13_logFC_4h_GSE7432;14_logFC_6h_SRP102803;15_logFC_6h_GSE3350;16_logFC_6h_GSE42896;17_logFC_6h_GSE59426;18_logFC_8h_GSE42007;19_logFC_12h_GSE42007;20_logFC_18h_GSE59741;21_logFC_24h_GSE42007;22_logFC_55h_SRP074436;23_logFC_72h_SRP214076;FDR_0.5h_PRJEB19862;FDR_0.5h_GSE18975;FDR_1h_GSE149410;FDR_1h_GSE18975;FDR_2h_GSE3350;FDR_2h_GSE35580;FDR_2h_GSE42896;FDR_2h_GSE627;FDR_3h_GSE18975;FDR_3h_GSE58028;FDR_4h_SRP033494;FDR_4h_GSE42007;FDR_4h_GSE7432;FDR_6h_SRP102803;FDR_6h_GSE3350;FDR_6h_GSE42896;FDR_6h_GSE59426;FDR_8h_GSE42007;FDR_12h_GSE42007;FDR_18h_GSE59741;FDR_24h_GSE42007;FDR_55h_SRP074436;FDR_72h_SRP214076
AT3G01250;AT3G01250;transmembrane protein(AT3G01250);1;;1;0.5h;-1.3;;;;;;;;;;;;;;;;;;;;;;;1.0E-12;;;;;;;;;;;;;;;;;;;;;;
AT4G20630;AT4G20630;cysteine-rich repeat secretory-like protein (DUF26 and DUF1204)(AT4G20630);1;;1;0.5h;-1.4;;;;;;;;;;;;;;;;;;;;;;;1.1E-04;;;;;;;;;;;;;;;;;;;;;;
AT4G20580;AT4G20580;cysteine-rich repeat secretory-like protein (DUF26 and DUF1204)(AT4G20580);1;;1;0.5h;-1.4;;;;;;;;;;;;;;;;;;;;;;;2.4E-05;;;;;;;;;;;;;;;;;;;;;;
AT1G54620;AT1G54620;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT1G54620);1;;1;0.5h;-1.4;;;;;;;;;;;;;;;;;;;;;;;8.0E-03;;;;;;;;;;;;;;;;;;;;;;
AT4G20703;;;1;;1;0.5h;-1.4;;;;;;;;;;;;;;;;;;;;;;;2.9E-05;;;;;;;;;;;;;;;;;;;;;;
AT4G20570;AT4G20570;cysteine-rich repeat secretory-like protein(AT4G20570);1;;1;0.5h;-1.4;;;;;;;;;;;;;;;;;;;;;;;2.0E-05;;;;;;;;;;;;;;;;;;;;;;
AT1G35490;AT1G35490;bZIP family transcription factor(AT1G35490);1;;1;0.5h;-1.5;;;;;;;;;;;;;;;;;;;;;;;1.4E-11;;;;;;;;;;;;;;;;;;;;;;
AT4G21630;AT4G21630;Subtilase family protein(AT4G21630);1;;1;0.5h;-1.5;;;;;;;;;;;;;;;;;;;;;;;2.6E-04;;;;;;;;;;;;;;;;;;;;;;
AT2G04115;AT2G04115;Plant self-incompatibility protein S1 family(AT2G04115);1;;1;0.5h;-1.6;;;;;;;;;;;;;;;;;;;;;;;1.4E-14;;;;;;;;;;;;;;;;;;;;;;
AT2G11570;AT2G11570;hypothetical protein(AT2G11570);1;;1;0.5h;-1.6;;;;;;;;;;;;;;;;;;;;;;;2.9E-02;;;;;;;;;;;;;;;;;;;;;;
AT1G51410;AT1G51410;NAD(P)-binding Rossmann-fold superfamily protein(AT1G51410);1;;1;0.5h;-1.7;;;;;;;;;;;;;;;;;;;;;;;1.3E-04;;;;;;;;;;;;;;;;;;;;;;
AT3G02810;LIP2;Protein kinase superfamily protein(AT3G02810);1;;1;0.5h;-1.7;;;;;;;;;;;;;;;;;;;;;;;3.0E-02;;;;;;;;;;;;;;;;;;;;;;
AT1G04470;AT1G04470;hypothetical protein (DUF810)(AT1G04470);1;;1;0.5h;-1.7;;;;;;;;;;;;;;;;;;;;;;;7.2E-03;;;;;;;;;;;;;;;;;;;;;;
AT5G61690;ABCA11;ABC2 homolog 15(ABCA11);1;;1;0.5h;-1.7;;;;;;;;;;;;;;;;;;;;;;;2.1E-02;;;;;;;;;;;;;;;;;;;;;;
AT4G15250;BBX9;B-box type zinc finger protein with CCT domain-containing protein(BBX9);1;;1;0.5h;-1.8;;;;;;;;;;;;;;;;;;;;;;;9.2E-06;;;;;;;;;;;;;;;;;;;;;;
AT4G35670;AT4G35670;Pectin lyase-like superfamily protein(AT4G35670);1;;1;0.5h;-1.9;;;;;;;;;;;;;;;;;;;;;;;2.2E-17;;;;;;;;;;;;;;;;;;;;;;
AT4G02250;AT4G02250;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT4G02250);1;;1;0.5h;-2.0;;;;;;;;;;;;;;;;;;;;;;;1.1E-02;;;;;;;;;;;;;;;;;;;;;;
AT1G71680;AT1G71680;Transmembrane amino acid transporter family protein(AT1G71680);1;;1;0.5h;-2.0;;;;;;;;;;;;;;;;;;;;;;;6.3E-70;;;;;;;;;;;;;;;;;;;;;;
AT5G64790;AT5G64790;O-Glycosyl hydrolases family 17 protein(AT5G64790);1;;1;0.5h;-2.0;;;;;;;;;;;;;;;;;;;;;;;1.9E-11;;;;;;;;;;;;;;;;;;;;;;
AT2G07040;PRK2A;Leucine-rich repeat protein kinase family protein(PRK2A);1;;1;0.5h;-2.1;;;;;;;;;;;;;;;;;;;;;;;1.0E-19;;;;;;;;;;;;;;;;;;;;;;
AT3G62640;AT3G62640;DUF3511 domain protein (DUF3511)(AT3G62640);1;;1;0.5h;-2.2;;;;;;;;;;;;;;;;;;;;;;;1.0E-02;;;;;;;;;;;;;;;;;;;;;;
AT3G22510;AT3G22510;Pre-rRNA-processing protein TSR2, conserved region(AT3G22510);1;;1;0.5h;-2.4;;;;;;;;;;;;;;;;;;;;;;;1.3E-02;;;;;;;;;;;;;;;;;;;;;;
AT5G37060;CHX24;cation/H+ exchanger 24(CHX24);1;;1;0.5h;-2.4;;;;;;;;;;;;;;;;;;;;;;;2.3E-02;;;;;;;;;;;;;;;;;;;;;;
AT2G31425;AT2G31425;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT2G31425);1;;1;0.5h;-2.4;;;;;;;;;;;;;;;;;;;;;;;6.9E-12;;;;;;;;;;;;;;;;;;;;;;
AT3G01230;AT3G01230;splicing regulatory glutamine/lysine-rich-like protein(AT3G01230);1;;1;0.5h;-2.5;;;;;;;;;;;;;;;;;;;;;;;1.4E-03;;;;;;;;;;;;;;;;;;;;;;
AT3G07830;PGA3;Pectin lyase-like superfamily protein(AT3G07830);1;;1;0.5h;-2.6;;;;;;;;;;;;;;;;;;;;;;;1.2E-07;;;;;;;;;;;;;;;;;;;;;;
AT3G28820;AT3G28820;mediator of RNA polymerase II transcription subunit-like protein, putative (DUF1216)(AT3G28820);1;;1;0.5h;-2.7;;;;;;;;;;;;;;;;;;;;;;;1.6E-49;;;;;;;;;;;;;;;;;;;;;;
AT5G42170;AT5G42170;SGNH hydrolase-type esterase superfamily protein(AT5G42170);1;;1;0.5h;-2.8;;;;;;;;;;;;;;;;;;;;;;;3.6E-15;;;;;;;;;;;;;;;;;;;;;;
AT5G46940;AT5G46940;Plant invertase/pectin methylesterase inhibitor superfamily protein(AT5G46940);1;;1;0.5h;-2.9;;;;;;;;;;;;;;;;;;;;;;;4.6E-04;;;;;;;;;;;;;;;;;;;;;;
AT2G31430;PMEI5;Plant invertase/pectin methylesterase inhibitor superfamily protein(PMEI5);1;;1;0.5h;-2.9;;;;;;;;;;;;;;;;;;;;;;;1.1E-02;;;;;;;;;;;;;;;;;;;;;;
AT2G47030;VGDH1;Plant invertase/pectin methylesterase inhibitor superfamily(VGDH1);1;;1;0.5h;-2.9;;;;;;;;;;;;;;;;;;;;;;;7.1E-44;;;;;;;;;;;;;;;;;;;;;;
AT2G02140;LCR72;low-molecular-weight cysteine-rich 72(LCR72);1;;1;0.5h;-3.0;;;;;;;;;;;;;;;;;;;;;;;1.9E-02;;;;;;;;;;;;;;;;;;;;;;
AT5G48375;TGG3;thioglucoside glucosidase 3(TGG3);1;;1;0.5h;-3.3;;;;;;;;;;;;;;;;;;;;;;;1.4E-02;;;;;;;;;;;;;;;;;;;;;;
AT3G28810;AT3G28810;mediator of RNA polymerase II transcription subunit-like protein, putative (DUF1216)(AT3G28810);1;;1;0.5h;-3.3;;;;;;;;;;;;;;;;;;;;;;;1.5E-16;;;;;;;;;;;;;;;;;;;;;;
AT1G03050;AT1G03050;ENTH/ANTH/VHS superfamily protein(AT1G03050);1;;1;0.5h;-3.3;;;;;;;;;;;;;;;;;;;;;;;3.1E-08;;;;;;;;;;;;;;;;;;;;;;
AT1G20135;AT1G20135;GDSL-like Lipase/Acylhydrolase family protein(AT1G20135);1;;1;0.5h;-3.7;;;;;;;;;;;;;;;;;;;;;;;1.2E-11;;;;;;;;;;;;;;;;;;;;;;
AT5G39880;AT5G39880;transmembrane protein(AT5G39880);1;;1;0.5h;-4.5;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;;;;;
AT3G62230;DAF1;F-box family protein(DAF1);1;;1;0.5h;-4.7;;;;;;;;;;;;;;;;;;;;;;;1.8E-08;;;;;;;;;;;;;;;;;;;;;;
AT1G28306;AT1G28306;Plant self-incompatibility protein S1 family(AT1G28306);1;;1;0.5h;-4.8;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;;;;;
AT3G42880;PRK3;Leucine-rich repeat protein kinase family protein(PRK3);1;;1;0.5h;-4.8;;;;;;;;;;;;;;;;;;;;;;;1.4E-02;;;;;;;;;;;;;;;;;;;;;;
AT1G67290;GLOX1;glyoxal oxidase-related protein(GLOX1);1;;1;0.5h;-5.2;;;;;;;;;;;;;;;;;;;;;;;1.9E-04;;;;;;;;;;;;;;;;;;;;;;
AT5G58790;AT5G58790;hypothetical protein(AT5G58790);2;;1;0.5h;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.8E-02;;;;;;;;;;;;;;;;;;;;;
AT2G29880;AT2G29880;Myb/SANT-like DNA-binding domain protein(AT2G29880);2;;1;0.5h;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;;;;
AT5G47820;FRA1;P-loop containing nucleoside triphosphate hydrolases superfamily protein(FRA1);2;;1;0.5h;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;;;
AT1G47370;AT1G47370;Toll-Interleukin-Resistance (TIR) domain family protein(AT1G47370);2;;1;0.5h;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;;;;
AT4G04300;;hypothetical protein(AT4G04300);2;;1;0.5h;;-0.2;;;;;;;;;;;;;;;;;;;;;;;3.8E-02;;;;;;;;;;;;;;;;;;;;;
AT4G38750;;;2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.5E-02;;;;;;;;;;;;;;;;;;;;;
AT1G32630;AT1G32630;FAM50A-like protein(AT1G32630);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.4E-02;;;;;;;;;;;;;;;;;;;;;
AT5G40660;AT5G40660;ATP12 protein-like protein(AT5G40660);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;;;;
AT3G59470;FRF1;Far-red impaired responsive (FAR1) family protein(AT3G59470);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.6E-02;;;;;;;;;;;;;;;;;;;;;
AT1G02670;AT1G02670;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT1G02670);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;;;;
AT2G16590;;;2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;;;
AT4G08320;TPR8;Tetratricopeptide repeat (TPR)-like superfamily protein(TPR8);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.1E-02;;;;;;;;;;;;;;;;;;;;;
AT2G46240;BAG6;BCL-2-associated athanogene 6(BAG6);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;;;;
AT3G12300;BUG22;cilia/flagella-associated protein(BUG22);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;;;
AT2G19270;AT2G19270;mitotic checkpoint protein PRCC-carboxy-term protein(AT2G19270);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.2E-02;;;;;;;;;;;;;;;;;;;;;
AT1G73460;AT1G73460;Protein kinase superfamily protein(AT1G73460);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.0E-02;;;;;;;;;;;;;;;;;;;;;
AT5G41150;UVH1;Restriction endonuclease, type II-like superfamily protein(UVH1);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.0E-02;;;;;;;;;;;;;;;;;;;;;
AT2G25750;;;2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.8E-02;;;;;;;;;;;;;;;;;;;;;
AT1G63280;AT1G63280;Serine protease inhibitor (SERPIN) family protein(AT1G63280);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.0E-02;;;;;;;;;;;;;;;;;;;;;
AT1G48380;RHL1;root hair initiation protein root hairless 1 (RHL1)(RHL1);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;;;;
AT1G36440;;hypothetical protein(AT1G36440);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.7E-02;;;;;;;;;;;;;;;;;;;;;
AT5G19960;AT5G19960;RNA-binding (RRM/RBD/RNP motifs) family protein(AT5G19960);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.0E-02;;;;;;;;;;;;;;;;;;;;;
AT5G15725;GLV9;transmembrane protein(AT5G15725);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.2E-02;;;;;;;;;;;;;;;;;;;;;
AT5G08510;AT5G08510;Pentatricopeptide repeat (PPR) superfamily protein(AT5G08510);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.8E-02;;;;;;;;;;;;;;;;;;;;;
AT1G44810;AT1G44810;DNA-binding storekeeper protein-related transcriptional regulator(AT1G44810);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.9E-02;;;;;;;;;;;;;;;;;;;;;
AT5G61150;VIP4;leo1-like family protein(VIP4);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.5E-02;;;;;;;;;;;;;;;;;;;;;
AT3G51500;AT3G51500;hypothetical protein(AT3G51500);2;;1;0.5h;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.0E-02;;;;;;;;;;;;;;;;;;;;;
AT2G03280;AT2G03280;O-fucosyltransferase family protein(AT2G03280);2;;1;0.5h;;-0.4;;;;;;;;;;;;;;;;;;;;;;;1.5E-02;;;;;;;;;;;;;;;;;;;;;
AT5G23580;CDPK9;calmodulin-like domain protein kinase 9(CDPK9);2;;1;0.5h;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;;;
AT4G12760;AT4G12760;RPA-interacting protein A(AT4G12760);2;;1;0.5h;;-0.4;;;;;;;;;;;;;;;;;;;;;;;1.5E-02;;;;;;;;;;;;;;;;;;;;;
AT3G51400;AT3G51400;hypothetical protein (DUF241)(AT3G51400);2;;1;0.5h;;-0.5;;;;;;;;;;;;;;;;;;;;;;;1.3E-03;;;;;;;;;;;;;;;;;;;;;
AT5G36800;AT5G36800;transmembrane protein(AT5G36800);3;;1;1h;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;;;
AT2G36420;TRM27;nucleolin-like protein(TRM27);3;;1;1h;;;-0.8;;;;;;;;;;;;;;;;;;;;;;;5.4E-04;;;;;;;;;;;;;;;;;;;;
AT3G53720;CHX20;cation/H+ exchanger 20(CHX20);3;;1;1h;;;-1.2;;;;;;;;;;;;;;;;;;;;;;;2.2E-03;;;;;;;;;;;;;;;;;;;;
AT1G29740;AT1G29740;Leucine-rich repeat transmembrane protein kinase(AT1G29740);3;;1;1h;;;-1.3;;;;;;;;;;;;;;;;;;;;;;;3.3E-02;;;;;;;;;;;;;;;;;;;;
AT3G21351;AT3G21351;transmembrane protein(AT3G21351);3;;1;1h;;;-1.7;;;;;;;;;;;;;;;;;;;;;;;2.3E-02;;;;;;;;;;;;;;;;;;;;
AT5G57240;ORP4C;OSBP(oxysterol binding protein)-related protein 4C(ORP4C);3;;1;1h;;;-2.3;;;;;;;;;;;;;;;;;;;;;;;1.3E-02;;;;;;;;;;;;;;;;;;;;
AT2G44798;AT2G44798;ncRNA(AT2G44798);3;;1;1h;;;-2.7;;;;;;;;;;;;;;;;;;;;;;;3.8E-02;;;;;;;;;;;;;;;;;;;;
AT3G45110;AT3G45110;hypothetical protein(AT3G45110);3;;1;1h;;;-3.1;;;;;;;;;;;;;;;;;;;;;;;4.2E-02;;;;;;;;;;;;;;;;;;;;
AT4G22210;LCR85;low-molecular-weight cysteine-rich 85(LCR85);3;;1;1h;;;-4.0;;;;;;;;;;;;;;;;;;;;;;;3.2E-02;;;;;;;;;;;;;;;;;;;;
AT2G20595;AT2G20595;plant thionin family protein(AT2G20595);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;
AT5G26910;TRM8;GPI-anchored adhesin-like protein(TRM8);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;
AT5G64610;HAM1;histone acetyltransferase of the MYST family 1(HAM1);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;;
AT3G47630;AT3G47630;translocator assembly/maintenance protein(AT3G47630);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.0E-02;;;;;;;;;;;;;;;;;;;
AT2G22060;AT2G22060;galactose oxidase/kelch repeat protein(AT2G22060);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;3.3E-02;;;;;;;;;;;;;;;;;;;
AT5G37140;AT5G37140;P-loop containing nucleoside triphosphate hydrolases superfamily protein(AT5G37140);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.6E-02;;;;;;;;;;;;;;;;;;;
AT3G43500;AT3G43500;hypothetical protein(AT3G43500);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;;
AT3G12480;NF-YC11;nuclear factor Y, subunit C11(NF-YC11);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;3.9E-02;;;;;;;;;;;;;;;;;;;
AT3G27700;AT3G27700;zinc finger (CCCH-type) family protein / RNA recognition motif (RRM)-containing protein(AT3G27700);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;3.4E-02;;;;;;;;;;;;;;;;;;;
AT2G16840;;hypothetical protein(AT2G16840);4;;1;1h;;;;-0.2;;;;;;;;;;;;;;;;;;;;;;;3.6E-02;;;;;;;;;;;;;;;;;;;
AT4G36510;AT4G36510;hypothetical protein(AT4G36510);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;;
AT3G45190;AT3G45190;SIT4 phosphatase-associated family protein(AT3G45190);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.2E-02;;;;;;;;;;;;;;;;;;;
AT5G36930;AT5G36930;Disease resistance protein (TIR-NBS-LRR class) family(AT5G36930);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.4E-02;;;;;;;;;;;;;;;;;;;
AT1G62930;RPF3;Tetratricopeptide repeat (TPR)-like superfamily protein(RPF3);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.8E-02;;;;;;;;;;;;;;;;;;;
AT5G46490;AT5G46490;Disease resistance protein (TIR-NBS-LRR class) family(AT5G46490);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.6E-02;;;;;;;;;;;;;;;;;;;
AT3G19510;HAT3.1;Homeodomain-like protein with RING/FYVE/PHD-type zinc finger domain-containing protein(HAT3.1);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.6E-02;;;;;;;;;;;;;;;;;;;
AT5G17690;TFL2;like heterochromatin protein (LHP1)(TFL2);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.1E-02;;;;;;;;;;;;;;;;;;;
AT5G28360;;miscRNA(ACS3);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;;
AT5G07590;AT5G07590;Transducin/WD40 repeat-like superfamily protein(AT5G07590);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;;
AT2G20540;MEF21;mitochondrial editing factor 21(MEF21);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.4E-02;;;;;;;;;;;;;;;;;;;
AT4G25450;ABCB28;non-intrinsic ABC protein 8(ABCB28);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;;
AT4G38300;AT4G38300;glycosyl hydrolase family 10 protein(AT4G38300);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.1E-02;;;;;;;;;;;;;;;;;;;
AT5G64360;EIP9;Chaperone DnaJ-domain superfamily protein(EIP9);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;2.2E-02;;;;;;;;;;;;;;;;;;;
AT3G29310;AT3G29310;calmodulin-binding protein-like protein(AT3G29310);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.9E-02;;;;;;;;;;;;;;;;;;;
AT2G25990;AT2G25990;hypothetical protein(AT2G25990);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;;
AT5G61865;AT5G61865;hypothetical protein(AT5G61865);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;3.5E-02;;;;;;;;;;;;;;;;;;;
AT5G53010;AT5G53010;calcium-transporting ATPase(AT5G53010);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.7E-02;;;;;;;;;;;;;;;;;;;
AT1G60930;RECQ4B;RECQ helicase L4B(RECQ4B);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.8E-02;;;;;;;;;;;;;;;;;;;
AT4G39430;;;4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.8E-02;;;;;;;;;;;;;;;;;;;
AT3G23310;AT3G23310;AGC (cAMP-dependent, cGMP-dependent and protein kinase C) kinase family protein(AT3G23310);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.2E-02;;;;;;;;;;;;;;;;;;;
AT4G30820;AT4G30820;cyclin-dependent kinase-activating kinase assembly factor-related / CDK-activating kinase assembly factor-like protein(AT4G30820);4;;1;1h;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;1.5E-02;;;;;;;;;;;;;;;;;;;
AT5G38040;AT5G38040;UDP-Glycosyltransferase superfamily protein(AT5G38040);4;;1;1h;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;5.7E-03;;;;;;;;;;;;;;;;;;;
AT5G06265;AT5G06265;hyaluronan mediated motility receptor-like protein(AT5G06265);4;;1;1h;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;6.4E-03;;;;;;;;;;;;;;;;;;;
AT5G44740;POLH;Y-family DNA polymerase H(POLH);4;;1;1h;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;2.0E-03;;;;;;;;;;;;;;;;;;;
AT3G59490;AT3G59490;hypothetical protein(AT3G59490);4;;1;1h;;;;-0.5;;;;;;;;;;;;;;;;;;;;;;;4.3E-03;;;;;;;;;;;;;;;;;;;
AT3G44410;;miscRNA(AT3G44410);5;;1;2_3h;;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.6E-02;;;;;;;;;;;;;;;;;;
AT1G56510;WRR4;Disease resistance protein (TIR-NBS-LRR class)(WRR4);5;;1;2_3h;;;;;-0.3;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;
AT2G05720;AT2G05720;Transducin/WD40 repeat-like superfamily protein(AT2G05720);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.3E-02;;;;;;;;;;;;;;;;;;
AT2G14540;SRP2;serpin 2(SRP2);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.0E-02;;;;;;;;;;;;;;;;;;
AT3G06100;"NIP7;1";"NOD26-like intrinsic protein 7;1(NIP7;1)";5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.2E-02;;;;;;;;;;;;;;;;;;
AT2G10930;AT2G10930;transmembrane protein(AT2G10930);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.1E-02;;;;;;;;;;;;;;;;;;
AT4G04600;;hypothetical protein(AT4G04600);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;
AT4G10820;AT4G10820;F-box family protein(AT4G10820);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.4E-02;;;;;;;;;;;;;;;;;;
AT5G56480;END2;Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein(AT5G56480);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.7E-02;;;;;;;;;;;;;;;;;;
AT3G17060;AT3G17060;Pectin lyase-like superfamily protein(AT3G17060);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;3.9E-02;;;;;;;;;;;;;;;;;;
AT1G56505;;;5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;3.6E-02;;;;;;;;;;;;;;;;;;
AT5G65590;SCAP1;Dof-type zinc finger DNA-binding family protein(AT5G65590);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;4.5E-02;;;;;;;;;;;;;;;;;;
AT5G28930;;hypothetical protein(AT5G28930);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;3.6E-02;;;;;;;;;;;;;;;;;;
AT4G04650;AT4G04650;RNA-directed DNA polymerase (reverse transcriptase)-related family protein(AT4G04650);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;3.5E-02;;;;;;;;;;;;;;;;;;
AT5G63340;AT5G63340;hypothetical protein(AT5G63340);5;;1;2_3h;;;;;-0.4;;;;;;;;;;;;;;;;;;;;;;;3.9E-02;;;;;;;;;;;;;;;;;;
